Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap
GVFF,GREENVILLE FEDERAL FINCL,Pink Current,9.25,,0,Common Stock,USA,Ohio,"19,537,545"
IFBC,ITALIAN FOOD & BEV CORP,Pink Current,0.0037,-2.6316,500200,Common Stock,USA,New York,"4,222,328"
GEGR,GAENSEL ENERGY GROUP INC,Pink Current,0.0234,-8.2353,508104,Common Stock,USA,Utah,"5,828,817"
LFGP,LEDYARD FINCL GROUP INC,OTCQB,20,-1.2346,301,Common Stock,USA,New Hampshire,"69,402,560"
ARVY,ALLIANCE RECOVERY CORP,Pink Current,0.014,-15.3567,17800,Common Stock,China,,"20,580,291"
CFST,COMMUNITIES FIRST FINL CP,OTCQX U.S. Premier,60.05,,5,Common Stock,USA,California,"186,897,578"
SMKG,SMART CARD MKTG SYS INC,OTCQB,0.022,,0,Common Stock,USA,Delaware,"10,537,700"
SMME,SMARTMETRIC INC,OTCQB,0.0018,-5.2632,22574722,Common Stock,USA,Nevada,"1,630,528"
IGPK,INTEGRATED CANNABIS SLTNS,Pink Current,0.0016,-15.7895,7054225,Common Stock,USA,Florida,"2,693,307"
MFDB,MUTUAL FEDERAL BNCRP IL,Pink Current,3,,0,Common Stock,USA,Illinois,"9,875,685"
UNTN,UNITED TENNESSEE BNKSHS,OTCQB,20.5,,0,Common Stock,USA,Tennessee,"15,400,502"
YBCN,YONG BAI CHAO NEW RETAIL,Pink Current,0.029,26.087,12000,Common Stock,USA,New York,"5,484,482"
IICN,CHINA INTELLIGENCE INFO,Pink Current,0.027025,-39.5414,1000,Common Stock,Czech Republic,,"39,372,241"
SGTB,SUGGESTION BOX INC,Pink Current,0.015,0,30000,Common Stock,USA,Illinois,"2,066,384"
SVIN,SCHEID VINEYARDS INC A,Pink Current,21.4,,0,Common Stock,USA,California,"16,731,440"
ADCV,AD CAPITAL US INC,Pink Current,0.798,,0,Common Stock,USA,Texas,"297,950,997"
NNRI,NNRF INC,Pink Current,0.005,,0,Common Stock,USA,Nevada,"1,644,608"
GVYB,GOLDEN VY BANCSHARES INC,Pink Current,16.8,,0,Common Stock,USA,California,"37,643,558"
XCPT,XCANA PETROLEUM CORP,Pink Current,0.1489,,0,Common Stock,USA,Illinois,"13,301,535"
WWII,WORLD OF WIRELESS INTL,Pink Current,0.05375,7.5,19700,Common Stock,USA,California,"5,533,992"
ABTO,AB&T FINCL CORP (NC),Pink Current,0.6,,0,Common Stock,USA,North Carolina,"18,859,835"
WOWI,METRO ONE TELECOMMUNS INC,Pink Current,0.08645,,0,Common Stock,Israel,,"22,297,245"
HPST,HEMPSTRACT INC,Pink Current,0.01535,,0,Common Stock,USA,Washington,"1,441,308"
PRLE,PILLARSTONE CAPITAL REIT,Pink Current,1.31,,0,Common Stock,USA,Texas,"851,960"
ARBV,AMERICAN RIVIERA BANCORP,OTCQX U.S. Premier,17.3,,0,Common Stock,USA,California,"89,499,353"
SKRJ,SILK ROAD ENTMT INC,Pink Current,0.101,,0,Common Stock,USA,Nevada,"3,746,255"
DFCO,DALRADA FINCL CORP,OTCQB,0.115,-4.1667,256329,Common Stock,USA,California,"9,198,579"
BTTC,BITECH TECHNOLOGIES CORP,OTCQB,0.15,0,700,Common Stock,USA,California,"75,903,308"
MILC,MILLENNIUM SUSTAINALE VTR,Pink Current,0.86,,0,Common Stock,USA,New York,"9,459,840"
GSPE,GULFSLOPE ENERGY INC,Pink Current,0.00515,22.619,4300,Common Stock,USA,Texas,"6,531,438"
FCCT,FIRST COMMUNITY CORP (TN),Pink Current,9,,0,Common Stock,USA,Tennessee,"14,857,308"
HHSE,HANNOVER HOUSE INC,Pink Current,0.0097,-14.1593,103312,Common Stock,USA,Arkansas,"9,703,011"
TRUX,TRUXTON CORP,Pink Current,64.525,0.428,715,Common Stock,USA,Tennessee,"184,868,288"
BNCM,BOUNCE MOBILE SYS INC,Pink Current,0.04445,11.125,13600,Common Stock,Philippines,,"16,546,316"
AXTG,AXIS TECHS GROUP INC,Pink Current,0.009,0,300500,Common Stock,USA,California,"3,331,102"
MTRI,METRO INC,Pink Current,0.0299,7.9422,8282,Common Stock,China,,"13,702,436"
CNHC,CHINA HEALTH MGMT CORP,Pink Current,0.0133,,0,Common Stock,USA,Texas,"1,079,241"
CPMD,CANNAPHARMARX INC,Pink Current,0.00909,-9.1,215000,Common Stock,Canada,Alberta,"1,881,331"
HQDA,HQDA ELDERLY LIFE NTWK,Pink Current,0.1301,,0,Common Stock,USA,California,"18,155,359"
FCNE,FOUR CORNERS INC,Pink Current,2,,0,Common Stock,USA,Texas,"22,169,316"
SFWJ,SOFTWARE EFF SLTNS CORP,Pink Current,0.018,,0,Common Stock,USA,Texas,"6,749,952"
PBSV,PHARM-BIO SERV INC,OTCQB,0.8001,,50,Common Stock,USA,Puerto Rico,"18,357,723"
TCNB,TOWN CENTER BANK (IL),OTCQX U.S.,3.18,,0,Common Stock,USA,Illinois,"7,421,039"
REOS,REOSTAR ENERGY CORP,Pink Current,0.03475,-8.3113,73500,Common Stock,USA,California,"2,805,851"
NLST,NETLIST INC,OTCQB,2.65,0,84538,Common Stock,USA,California,"615,039,388"
NWPN,NOW CORP,Pink Current,0.0005,0,1850000,Common Stock,USA,Florida,"1,067,938"
SBKO,SUMMIT BANK GROUP INC,Pink Current,14.14,-0.0707,500,Common Stock,USA,Oregon,"108,821,440"
BLMS,BLOOMIOS INC,OTCQB,2.47,,0,Common Stock,USA,California,"32,841,663"
AFFU,AFFLUENCE CORP,Pink Current,0.0337,-10.1333,162110,Common Stock,USA,Colorado,"15,031,936"
ZNOG,ZION OIL & GAS INC,OTCQX U.S.,0.1658,-2.9842,1063083,Common Stock,USA,Texas,"81,809,820"
PBNK,PINNACLE BANK (CA),OTCQB,12.1999,-0.409,300,Common Stock,USA,California,"66,648,859"
FHLB,FRIENDLY HILLS BANCORP,Pink Current,8.19,0.8869,7501,Common Stock,USA,California,"16,858,239"
WPUR,WATERPURE INTL INC,Pink Current,0.00395,1.2821,24500,Common Stock,USA,Texas,"1,358,718"
UEEC,UNITED HEALTH PRODUTS INC,Pink Current,0.3499,-0.0286,60302,Common Stock,USA,Nevada,"81,072,443"
USMT,US METRO BANCORP,OTCQX U.S.,4.65,-1.2739,1800,Common Stock,USA,California,"76,074,000"
JAMN,JAMMIN JAVA CORP,Pink Current,0.0001,100,9479849,Common Stock,USA,New York,"1,157,260"
GXXY,GALEXXY HLDGS INC,Pink Current,0.122,-6.1538,5000,Common Stock,USA,California,"26,385,888"
TRVR,TWO RIVERS FINCL GRP INC,OTCQX U.S. Premier,43.5,,0,Common Stock,USA,Iowa,"91,910,759"
HENC,HERO TECHNOLOGIES INC,OTCQB,0.055,0,1000,Common Stock,USA,Delaware,"24,634,885"
VTXB,VORTEX BRANDS CO,Pink Current,0.0028,7.6923,422783,Common Stock,USA,California,"900,900"
IPIX,INNOVATION PHARMACEUTICAL,Pink Current,0.038805,19.7685,35249,Common Stock,USA,Massachusetts,"18,948,038"
GEVI,GENERAL ENVIR MGMT INC,Pink Current,0.21,0,300,Common Stock,USA,Wyoming,"19,728,531"
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX U.S. Premier,20.5,0,664,Common Stock,USA,Michigan,"135,242,457"
ALDA,ATLANTICA INC,Pink Current,2.15,,0,Common Stock,USA,Florida,"5,285,969"
WESC,W&E SOURCE CORP,Pink Current,0.005,,0,Common Stock,USA,Delaware,"650,428"
TNPH,TIAN'AN PHARM CO LTD,Pink Current,0.037,,0,Common Stock,USA,Nevada,"3,023,825"
CRSB,CORNERSTONE COMUTY BANCRP,Pink Current,26.85,-0.5556,210,Common Stock,USA,California,"39,445,093"
YBGJ,YUBO INTL BIOTECH LTD A,Pink Current,0.0716,-18.9357,5817,Common Stock,China,,"8,578,850"
AQPW,GOLDEN ALLY LIFETECH GRP,Pink Current,0.201,,0,Common Stock,USA,Texas,"1,707,708,442"
PFBN,PACIFIC ALLIANCE BANK CA,Pink Current,9.5,,0,Common Stock,USA,California,"30,160,154"
SCGY,SCIENTIFIC ENERGY INC,Pink Current,0.05,,0,Common Stock,USA,New Jersey,"13,166,875"
BLGO,BIOLARGO INC,OTCQB,0.2601,-3.1646,479907,Common Stock,USA,California,"70,489,391"
CDSG,CHINA DONGSHENG INTL INC,Pink Current,0.035,5.4217,37891,Common Stock,USA,Nevada,"2,967,192"
BYOC,BEYOND COMMERCE INC,Pink Current,0.0005,0,107252490,Common Stock,USA,Nevada,"8,200,013"
AVOI,ADVANCED VOICE RECOGNITN,Pink Current,0.0064,-8.5714,20000,Common Stock,USA,Arizona,"1,823,490"
TMRC,TEXAS MINERAL RESOURCES,OTCQB,2.02,1,171279,Common Stock,USA,Texas,"148,278,239"
ICNM,ICON MEDIA HOLDINGS INC,Pink Current,0.00095,5.5556,14911508,Common Stock,USA,California,"10,047,107"
CVAT,CAVITATION TECHS INC,OTCQB,0.0379,0,1000,Common Stock,USA,California,"10,620,921"
BKOR,OAK RIDGE FINCL SVCS INC,Pink Current,18.56,-0.5359,707,Common Stock,USA,North Carolina,"50,155,987"
FSMK,1ST SUMMIT BNCRP JOHNTOWN,Pink Current,69,,0,Common Stock,USA,Pennsylvania,"151,062,390"
SIPN,SIPP INTL INDUSTRIES INC,Pink Current,0.02,,0,Common Stock,Australia,New South Wales,"14,810,122"
BRZV,BREEZER VENTURES INC,Pink Current,0.0455,-16.9708,12500,Common Stock,USA,Nevada,"8,511,869"
GLNS,GOLDEN STAR RES CORP,OTCQB,2.6,,0,Common Stock,USA,Nevada,"18,382,000"
YTFD,YACHT FINDERS INC,Pink Current,8,,0,Common Stock,USA,New York,"41,592,000"
AURI,AURI INC,Pink Current,0.0007,0,1437586,Common Stock,USA,Wyoming,"1,406,330"
FISB,1ST CAP BANCORP,OTCQX U.S. Premier,11.15,-1.3274,553,Common Stock,USA,California,"60,891,744"
DVLP,GOLDEN DEVELOPING SOL,Pink Current,0.0056,-8.1967,6458138,Common Stock,USA,Florida,"5,041,836"
KTEL,KONATEL INC,OTCQB,1.26,-0.3953,21600,Common Stock,USA,Texas,"53,191,412"
NVGT,NOVAGANT CORP,Pink Current,0.046,-1.0753,2000,Common Stock,USA,Florida,"22,707,395"
BLLB,BELL BUCKLE HLDGS INC,Pink Current,0.0021,-4.5455,1616345,Common Stock,USA,Florida,"1,743,049"
QNTO,QUAINT OAK BANCORP INC,OTCQB,23,,5,Common Stock,USA,Pennsylvania,"47,156,946"
GWSO,GLOBAL WARMING SLTNS INC,Pink Current,6.765,3.5988,16647,Common Stock,USA,California,"116,535,581"
RINO,RINO INTL CORP,Pink Current,0.045,,0,Common Stock,USA,Utah,"13,338,777"
AFTC,ALTERNATIVE FUEL TECHS,Pink Current,0.0009,0,501000,Common Stock,USA,Pennsylvania,"64,665,030"
PRMO,PROM RESOURCES INC,Pink Current,0.00025,25,2693000,Common Stock,USA,Florida,"4,054,799"
SEGI,SYCAMORE ENTMT GROUP INC,Pink Current,0.0016,-5.8824,5426100,Common Stock,USA,Washington,"8,112,000"
WWSG,WORLDWIDE STRATEGIES INC,Pink Current,0.049,,0,Common Stock,USA,Florida,"971,703"
ABMT,ADVANCED BIOMEDICAL TECHS,Pink Current,0.0607,,0,Common Stock,USA,New York,"4,285,714"
RNWF,RENEWAL FUELS INC,Pink Current,0.0016,14.2857,95000,Common Stock,USA,Delaware,"4,200,098"
LGBS,LEGENDS BUSINESS GRP INC,Pink Current,0.00055,-8.3333,610000,Common Stock,USA,Nevada,"1,536,290"
CMGO,CMG HOLDINGS GROUP INC,Pink Current,0.0031,,0,Common Stock,USA,Illinois,"1,366,652"
TVPC,TWIN VEE POWERCATS INC,Pink Current,0.08845,-3.8587,925,Common Stock,USA,Florida,"14,758,006"
OILY,SINO AMERICAN OIL CO,Pink Current,0.62,-3.7267,812,Common Stock,USA,Wyoming,"70,695,190"
HDUP,HEADSUP ENTMT INTL INC,Pink Current,0.08408,-1.2566,36736,Common Stock,USA,Florida,"19,261,834"
SSHT,SSHT S&T GROUP LTD,Pink Current,0.99,,0,Common Stock,New Zealand,,"98,904,438"
SMMR,SYMMETRY TECHNOLOGIES INC,Pink Current,0.15,36.3636,22855,Common Stock,USA,Florida,"2,210,944"
PEBC,PEOPLES BANCORP INC MD,Pink Current,30.01,,0,Common Stock,USA,Maryland,"21,874,829"
LUVU,LUVU BRANDS INC,OTCQB,0.0947,4.6524,2000,Common Stock,USA,Georgia,"7,201,580"
MSTO,MASTERBEAT CORP,Pink Current,0.0007,0,28006,Common Stock,USA,Georgia,"885,804"
EVCI,EVCI CAREER COLLEGES HDG,Pink Current,0.241,,0,Common Stock,USA,Wyoming,"1,243,542"
BRAV,BRAVADA INTL LTD,Pink Current,0.0013,,0,Common Stock,USA,California,"2,436,937"
NWYF,NORTHWAY FINCL INC,OTCQB,27,,0,Common Stock,USA,New Hampshire,"74,294,550"
CDBT,CHINA DASHENG BIOTECH CO,Pink Current,0.0965,,0,Common Stock,Australia,Queensland,"3,954,184"
OMTK,OMNITEK ENGINEERING CORP,OTCQB,0.047,0,100,Common Stock,USA,California,"1,031,560"
SLRK,SOLERA NATL BNCRP INC CO,Pink Current,9.56,-4.4,2320,Common Stock,USA,Colorado,"41,107,551"
MCIC,MULTICORP INTL INC,Pink Current,0.0035,-28.5714,962695,Common Stock,USA,California,"4,593,355"
CRVW,CAREVIEW COMMUNS INC,OTCQB,0.0585,,0,Common Stock,USA,Texas,"8,153,774"
SIPC,SIPP INDUSTRIES INC NEW,Pink Current,0.0051,0,57500,Common Stock,USA,California,"2,219,654"
TGMR,TROY GOLD & MINERAL CORP,Pink Current,0.3,,0,Common Stock,USA,California,"187,879"
CMGR,CLUBHOUSE MEDIA GROUP INC,Pink Current,0.0007,15.5116,33553709,Common Stock,USA,Nevada,"1,060,626"
SRNW,STRATOS RENEWABLE CORP,Pink Current,1.7,0,45443,Common Stock,USA,Nevada,"28,565,219"
CNER,CHINA NEW ENERGY GRP CO,Pink Current,0.019,-17.3913,31856,Common Stock,Canada,Ontario,"2,034,335"
TGGI,TRANS GLOBAL GROUP INC,Pink Current,0.01185,-2.8689,16877474,Common Stock,China,,"262,256,379"
TPCS,TECHPRECISION CORP,OTCQB,1.49,1.0169,130,Common Stock,USA,Massachusetts,"51,118,101"
JNSH,JNS HOLDINGS CORP,Pink Current,0.00475,-1.0417,397125,Common Stock,USA,Illinois,"1,506,886"
PTCP,PETROCORP INC,Pink Current,3,,0,Common Stock,USA,New York,"68,040,000"
BMCS,BIOTECH MEDICS INC,Pink Current,0.031,3.3333,36553,Common Stock,USA,California,"6,273,042"
CMUV,CMUV BANCORP,OTCQB,14.1,,0,Common Stock,USA,California,"26,218,682"
NRPI,NRP STONE INC,Pink Current,0.04,-32.9983,7600,Common Stock,USA,Utah,"12,529,868"
GPLS,GEOPULSE EXPLORATIONS INC,Pink Current,0.02845,9.4231,24700,Common Stock,USA,California,"2,544,269"
GBHL,GLOBAL ENTMT HOLDINGS INC,Pink Current,0.001,0,45155,Common Stock,USA,Nevada,"1,241,015"
VPRB,VPR BRANDS LP,Pink Current,0.0685,-0.7246,32000,Common Stock,USA,Florida,"6,083,076"
NAUH,NATL AMER UNIVERSITY HLDG,OTCQB,0.084,,0,Common Stock,USA,South Dakota,"2,454,615"
LFLS,LOANS4LESS.COM INC,Pink Current,0.0279,,0,Common Stock,USA,California,"1,618,012"
STSN,STEMSATION INTL INC,Pink Current,0.0119,21.4286,271018,Common Stock,USA,Florida,"2,289,058"
SENR,STRATEGIC ENVIR&ENGY RES,OTCQB,0.11,10,10000,Common Stock,USA,Colorado,"6,853,393"
SMEV,SIMULATED ENVIR CNCPTS,Pink Current,0.0068,,0,Common Stock,USA,Indiana,"4,005,168"
NWTT,NW TECH CAPITAL INC,Pink Current,0.0005,0,13078874,Common Stock,USA,California,"4,530,835"
VAYK,VAYCAYCHELLA INC,Pink Current,0.002,-9.0909,696600,Common Stock,USA,Nevada,"1,725,768"
ALYI,ALTERNET SYSTEMS INC,Pink Current,0.0023,0,2220929,Common Stock,USA,Texas,"7,032,144"
PGID,PEREGRINE INDUS INC,Pink Current,0.016,,0,Common Stock,USA,Nevada,"4,008,388"
KBLB,KRAIG BIOCRAFT LABS INC,OTCQB,0.047,-6.746,906744,Common Stock,USA,Michigan,"46,534,972"
UBQU,UBIQUITECH SOFTWARE CORP,Pink Current,0.0001,0,14515375,Common Stock,USA,Colorado,"2,908,242"
GYGC,GUYANA GOLD CORP,Pink Current,0.0079,,0,Common Stock,USA,Michigan,"863,383"
GRHI,GOLD ROCK HLDGS INC A,Pink Current,0.0225,,0,Common Stock,USA,Virginia,"1,968,350"
HWTR,HFACTOR INC,Pink Current,3.1,,0,Common Stock,USA,New York,"149,268,608"
SGMD,SUGARMADE INC,Pink Current,0.0002,0,10624307,Common Stock,USA,California,"2,377,176"
TMXN,TRIMAX CORP,Pink Current,0.0057,-5,31442,Common Stock,USA,California,"1,521,011"
OSKA,OSYKA CORP,Pink Current,0.0049,,0,Common Stock,USA,California,"2,151,890"
CBLO,C2 BLOCKCHAIN INC,Pink Current,0.1,0,350,Common Stock,USA,Florida,"25,393,601"
KLYG,KELYNIAM GLOBAL INC,Pink Current,0.1001,0,5000,Common Stock,USA,Connecticut,"2,902,214"
TSOI,THERAPEUTIC SLTNS INTL,Pink Current,0.0153,30.2128,8068224,Common Stock,USA,Idaho,"39,256,780"
TPII,TRIAD PRO INNOVATORS INC,Pink Current,0.007,9.375,1127873,Common Stock,USA,Nevada,"2,340,293"
MNTR,MENTOR CAPITAL INC,OTCQB,0.06,9.0909,63086,Common Stock,USA,Texas,"1,376,481"
EAWD,ENERGY & WTR DEV CORP,OTCQB,0.075,19.0476,347890,Common Stock,USA,Florida,"13,340,255"
UTRK,UNIVERSAL TRACKING SLTNS,Pink Current,0.03225,46.5909,33085,Common Stock,USA,Florida,"713,511"
CATV,4CABLE TV INTL INC,Pink Current,0.0002,0,55369,Common Stock,USA,Florida,"724,838"
FRMA,FIRMA HOLDINGS CORP,Pink Current,0.0348,,0,Common Stock,USA,Illinois,"13,673,381"
CUBV,CUBA BEVERAGE CO,Pink Current,0.001,0,15513830,Common Stock,USA,California,"8,412,642"
ORPB,OREGON PACIFIC BNCRP,Pink Current,6.39,-4.0541,6127,Common Stock,USA,Oregon,"48,714,395"
FBPI,FIRST BANCORP INDIANA,Pink Current,18.3,,0,Common Stock,USA,Indiana,"31,006,825"
JADA,JADE ART GROUP INC,Pink Current,0.009275,2.9412,1500,Common Stock,USA,Alabama,"4,268,614"
CLCN,CREATIVE LEARNING CORP,Pink Current,0.048,,0,Common Stock,USA,Pennsylvania,"5,053,758"
HLLK,HALLMARK VENTURE GRP INC,Pink Current,0.0037,,0,Common Stock,USA,New York,"800,692"
BSTO,BLUE STAR OPPTYS CORP,Pink Current,0.04324,,0,Common Stock,USA,Nevada,"3,139,342"
AVVH,AVVAA WRLD H/C PRODS INC,Pink Current,0.0027,1.8868,18422,Common Stock,USA,Texas,"2,609,395"
CRFU,CAREFREE GROUP INC,Pink Current,0.338,,0,Common Stock,USA,Florida,"57,121,124"
SHOM,STHN HOME MED INC,Pink Current,0.0009,0,333433,Common Stock,USA,New York,"3,588,034"
IDGC,IDGLOBAL CORP,Pink Current,0.0003,0,10683494,Common Stock,USA,Illinois,"7,317,474"
BLHK,BLUEHARBOR BANK (NC),Pink Current,16,,0,Common Stock,USA,North Carolina,"46,919,712"
GTHR,GENETHERA INC,Pink Current,0.0214,,0,Common Stock,USA,Colorado,"756,133"
BEGI,BLACKSTAR ENTERPRISE GRP,Pink Current,0.0012,9.0909,2603800,Common Stock,USA,Colorado,"373,574"
TMAK,TOUCHMARK BANCSHARES INC,Pink Current,10.94,,0,Common Stock,USA,Georgia,"48,966,248"
TSPG,TGI SOLAR POWER GROUP INC,Pink Current,0.0031,8.7719,921528,Common Stock,USA,Florida,"5,285,612"
CBMJ,CONSERVATIVE BDCST & MDIA,Pink Current,0.01445,11.1538,106609,Common Stock,USA,Georgia,"6,057,282"
SODE,SOCIAL DETENTION INC,Pink Current,0.0351,,0,Common Stock,USA,California,"6,941,142"
ABBB,AUBURN BANCORP INC,Pink Current,11.5,-6.1224,100,Common Stock,USA,Maine,"5,787,766"
PPSF,PEOPLES-SIDNEY FINCL CORP,Pink Current,19.6501,,1,Common Stock,USA,Ohio,"22,932,158"
NRCD,NASHVILLE RECORDS INC,Pink Current,0.1011,-94.945,105,Common Stock,USA,Nevada,"10,122,888"
CEOS,CECORS INC,Pink Current,0.0349,-10.0515,288892,Common Stock,Canada,Ontario,"12,021,474"
APGT,APPGATE INC,Pink Current,5.4,,0,Common Stock,USA,Florida,"711,685,764"
MDTC,MEDIA TECHS INC,Pink Current,0.058,,0,Common Stock,USA,California,"4,337,428"
GCEI,GLOBAL CLEAN ENERGY INC,Pink Current,0.1495,5.5381,69710,Common Stock,USA,Texas,"85,315,002"
SHMN,SOHM INC,Pink Current,0.0013,0,857600,Common Stock,USA,California,"2,048,249"
ARMC,ASIARIM CORP,Pink Current,1.68,,0,Common Stock,Canada,Ontario,"109,088,223"
PCTL,PCT LTD,Pink Current,0.00675,12.5,738210,Common Stock,USA,South Carolina,"5,437,779"
REPO,NATIONAL ASSET RECOVERY,Pink Current,0.038525,,0,Common Stock,USA,Nevada,"5,878,249"
CCWF,CHURCH & CRAWFORD INC NEW,Pink Current,0.012,,0,Common Stock,USA,Oklahoma,"13,143,382"
PLPL,PLANDAI BIOTECHNOLOGY INC,Pink Current,0.0005,25,19202235,Common Stock,USA,California,"3,671,956"
GWTI,GREENWAY TECHNOLOGIES INC,OTCQB,0.013,-0.1919,255049,Common Stock,USA,Texas,"4,905,041"
LICH,LIVECHAIN INC,Pink Current,0.017,,0,Common Stock,USA,Nevada,"3,147,481"
NSPT,NEWRON SPORT,Pink Current,0.00065,0,282142,Common Stock,USA,Nevada,"7,272,868"
LVVV,LIVEWIRE ERGOGENICS INC,Pink Current,0.0049,-5.7692,1585220,Common Stock,USA,California,"8,788,048"
GOVB,GOUVERNEUR BNCRP INC,Pink Current,9,,0,Common Stock,USA,New York,"18,282,393"
SNWV,SANUWAVE HEALTH INC,Pink Current,0.0575,-3.8462,41199,Common Stock,USA,Georgia,"31,552,415"
MSBN,MESSABEN CORP,Pink Current,0.1727,0,2950,Common Stock,USA,California,"89,247,062"
RPMT,REGO PAYMENT ARCHITECTURE,OTCQB,1.12,7.6923,32171,Common Stock,USA,Pennsylvania,"138,182,479"
USPS,ULTIMATE SPORTS INC,Pink Current,0.045,0,23405,Common Stock,USA,Indiana,"627,896"
AWSL,ATLANTIC POWER & INFRASTR,Pink Current,0.1,11.1111,131789,Common Stock,USA,Florida,"33,406,358"
SSFT,SONASOFT CORP,OTCQB,0.037,-3.8961,203896,Common Stock,USA,California,"27,958,056"
CHHE,CHINA HEALTH INDS HLDGS,OTCQB,0.02,,0,Common Stock,China,,"1,310,795"
SNMN,SNM GLOBAL HOLDINGS,Pink Current,0.0006,-14.2857,56450731,Common Stock,USA,Florida,"1,525,410"
RXMD,PROGRESSIVE CARE INC,OTCQB,0.03705,6.1605,1357784,Common Stock,USA,Florida,"23,297,451"
VNTA,VENTANA BIOTECH INC,Pink Current,0.0031,,0,Common Stock,USA,Colorado,"3,334,565"
BWVI,BLUE WATER VENTURES INC,Pink Current,0.1819,1.8477,34105,Common Stock,USA,Florida,"46,698,721"
ESYL,EASYLINK SOLUTIONS CORP,Pink Current,0.004,0,125,Common Stock,Israel,,"22,390,191"
PREC,PRESTIGE CARS INTL,Pink Current,0.025,,0,Common Stock,USA,Florida,"951,942"
FMBV,FULL MOTION BEVERAGE INC,Pink Current,0.0117,,0,Common Stock,USA,New York,"2,209,056"
UAMM,UA MULTIMEDIA INC,Pink Current,0.0082,-3.5294,642263,Common Stock,USA,California,"2,670,330"
PEYE,PRECISION OPTICS CORP NEW,OTCQB,1.99,3.1088,805,Common Stock,USA,Massachusetts,"33,661,027"
NHMD,NATE'S FOOD CO,Pink Current,0.00135,-3.5714,875524,Common Stock,USA,California,"783,033"
BRYN,BRYN RESOURCES INC,Pink Current,0.01175,-20.6081,714000,Common Stock,Canada,Ontario,"1,093,884"
AWCA,AWAYSIS CAPITAL INC,Pink Current,0.1503,,0,Common Stock,USA,Florida,"15,001,441"
RGSG,RESOURCES GLBL SVCS GRP,Pink Current,0.105,,0,Common Stock,USA,Wyoming,"8,268,736"
CMOT,CURTISS MOTORCYCLES CO,Pink Current,0.361,1.6901,450,Common Stock,USA,Alabama,"24,991,317"
QOEG,QUALITY ONLINE EDUCATION,Pink Current,0.04,,0,Common Stock,Canada,Ontario,"69,996,147"
UCPA,UNITED COMMUNS PRTNRS,Pink Current,0.0047,0,99900,Common Stock,USA,New York,"7,604,070"
CRSM,CARSMARTT INC,Pink Current,0.0038,18.75,75000,Common Stock,Italy,,"2,262,157"
EQLB,EQ LABS INC,Pink Current,0.0015,25,10000,Common Stock,USA,Nevada,"3,469,974"
PDPG,PERFORMANCE DRINK GROUP,Pink Current,0.0046,-5.1546,10000,Common Stock,USA,Colorado,"1,907,695"
FNEC,FIRST NATIONAL ENERGY CRP,Pink Current,0.55,,0,Common Stock,USA,Florida,"55,264,125"
BONZ,BONANZA GOLDFIELDS CORP,Pink Current,0.0019,-17.3913,20000,Common Stock,USA,Nevada,"3,548,596"
MNMB,MERCHANTS & MARINE BNCORP,OTCQX U.S.,37.25,,0,Common Stock,USA,Mississippi,"49,887,675"
HUML,HUMBLE ENERGY INC,Pink Current,0.0071,5.9701,78674,Common Stock,USA,New York,"1,755,863"
MMND,MASTERMIND INC,OTCQB,0.2595,-17.619,14705,Common Stock,USA,Georgia,"8,954,182"
CBNT,C-BOND SYSTEMS INC,Pink Current,0.0079,-1.25,30001,Common Stock,USA,Texas,"2,520,584"
AMLM,AMER LITHIUM MINERALS INC,Pink Current,0.1167,4.1035,17254,Common Stock,USA,Nevada,"8,019,343"
VSMR,VERIFY SMART CORP,Pink Current,0.061,,0,Common Stock,USA,New Jersey,"11,496,594"
TICJ,TRITENT INTL CORP,Pink Current,0.2,,0,Common Stock,Canada,Ontario,"5,277,595"
TREP,TRUCEPT INC,Pink Current,0.0351,-8.8312,44586,Common Stock,USA,California,"1,969,056"
FFPP,FAST FINANCE PAY CORP,Pink Current,0.007,,0,Common Stock,Germany,,"1,492,850"
TTCM,TAUTACHROME INC,Pink Current,0.0008,0,2115649,Common Stock,USA,Arizona,"4,877,079"
BSTK,BRITE-STRIKE TACTICAL INC,Pink Current,0.023,,0,Common Stock,USA,Massachusetts,"1,668,653"
MJNA,MEDICAL MARIJUANA INC,Pink Current,0.0115,1.7699,1884121,Common Stock,USA,California,"53,393,019"
CAVR,CAVU RESOURCES INC,Pink Current,0.0124,-4.6154,401793,Common Stock,USA,North Carolina,"19,998,612"
DUTV,DIGITAL UTIL VNTRS INC,Pink Current,0.01365,-2.5,1464072,Common Stock,USA,Massachusetts,"48,289,865"
IFUS,IMPACT FUSION INTL INC,Pink Current,0.014,0,130000,Common Stock,USA,Louisiana,"6,519,864"
GPLB,GREEN PLANET BIOENGR,Pink Current,1.5,-39.0244,131,Common Stock,USA,Florida,"30,009,603"
LEON,LEONE ASSET MGMT INC,Pink Current,0.036,,0,Common Stock,USA,Florida,"5,533,425"
FFMH,FIRST FMRS & MERCHANTS CO,Pink Current,27,,0,Common Stock,USA,Tennessee,"116,013,762"
GGII,GREEN GLOBE INTL INC NEW,Pink Current,0.0023,-4.1667,11949740,Common Stock,USA,Arizona,"125,029,728"
WARM,COOL TECHNOLOGIES INC,OTCQB,0.011,-5.9829,595041,Common Stock,USA,Florida,"6,916,960"
